127.0.0.1, 2014-01-12 18:02:29, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000261
127.0.0.1, 2014-01-12 18:02:35, POST, /py2manager/default/user/login, HTTP/1.1, 200, 0.022550
127.0.0.1, 2014-01-12 18:02:35, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000346
127.0.0.1, 2014-01-12 18:02:43, GET, /admin/default/site, HTTP/1.1, 200, 0.034485
127.0.0.1, 2014-01-12 18:02:43, GET, /admin/default/site, HTTP/1.1, 200, 0.040918
127.0.0.1, 2014-01-12 18:02:45, GET, /py2manager/default/index, HTTP/1.1, 303, 0.014969
127.0.0.1, 2014-01-12 18:02:45, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.025762
127.0.0.1, 2014-01-12 18:02:45, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000269
127.0.0.1, 2014-01-12 18:02:47, POST, /py2manager/default/user/login, HTTP/1.1, 200, 0.022546
127.0.0.1, 2014-01-12 18:02:47, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000275
127.0.0.1, 2014-01-12 18:02:51, GET, /admin/default/site, HTTP/1.1, 200, 0.032854
127.0.0.1, 2014-01-12 18:02:51, GET, /admin/default/site, HTTP/1.1, 200, 0.046294
127.0.0.1, 2014-01-12 18:02:53, GET, /admin/default/design/py2manager, HTTP/1.1, 200, 0.064589
127.0.0.1, 2014-01-12 18:02:59, GET, /admin/default/site, HTTP/1.1, 200, 0.039400
127.0.0.1, 2014-01-12 18:03:02, GET, /py2manager/default/index, HTTP/1.1, 303, 0.010013
127.0.0.1, 2014-01-12 18:03:02, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.016621
127.0.0.1, 2014-01-12 18:03:02, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000278
127.0.0.1, 2014-01-12 18:03:03, GET, /admin/default/site, HTTP/1.1, 200, 0.043907
127.0.0.1, 2014-01-12 18:03:05, GET, /admin/default/design/py2manager, HTTP/1.1, 200, 0.072708
127.0.0.1, 2014-01-12 18:03:27, GET, /admin/default/edit/py2manager/views/default/index.html, HTTP/1.1, 200, 0.036378
127.0.0.1, 2014-01-12 18:03:27, GET, /admin/default/edit/py2manager/views/default/index.html, HTTP/1.1, 200, 0.020816
127.0.0.1, 2014-01-12 18:03:28, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.015907
127.0.0.1, 2014-01-12 18:03:34, GET, /py2manager/default/index, HTTP/1.1, 303, 0.114978
127.0.0.1, 2014-01-12 18:03:34, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.061375
127.0.0.1, 2014-01-12 18:03:34, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000504
127.0.0.1, 2014-01-12 18:03:49, POST, /py2manager/default/user/login, HTTP/1.1, 303, 0.268789
127.0.0.1, 2014-01-12 18:03:49, GET, /py2manager/default/index, HTTP/1.1, 200, 0.076025
127.0.0.1, 2014-01-12 18:03:49, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.001268
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/default/index, HTTP/1.1, 200, 0.291557
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 304, 0.000751
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 304, 0.000397
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 304, 0.000350
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 304, 0.002215
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.005219
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001428
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000549
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 304, 0.002852
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002104
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000346
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001389
127.0.0.1, 2014-01-12 18:04:13, GET, /py2manager/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002430
127.0.0.1, 2014-01-12 18:04:14, GET, /py2manager/static/images/gplus-32.png, HTTP/1.1, 304, 0.001851
127.0.0.1, 2014-01-12 18:04:14, GET, /py2manager/static/images/twitter.png, HTTP/1.1, 304, 0.002854
127.0.0.1, 2014-01-12 18:04:14, GET, /py2manager/static/images/facebook.png, HTTP/1.1, 304, 0.001538
127.0.0.1, 2014-01-12 18:04:18, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.071875
127.0.0.1, 2014-01-12 18:04:28, POST, /py2manager/default/user/login, HTTP/1.1, 303, 0.286607
127.0.0.1, 2014-01-12 18:04:28, GET, /py2manager/default/index, HTTP/1.1, 200, 0.077257
127.0.0.1, 2014-01-12 18:04:29, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000493
127.0.0.1, 2014-01-12 18:04:37, GET, /py2manager/index, HTTP/1.1, 404, 0.119235
127.0.0.1, 2014-01-12 18:04:53, GET, /py2manager/default/index, HTTP/1.1, 200, 0.077021
127.0.0.1, 2014-01-12 18:04:53, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000517
127.0.0.1, 2014-01-12 18:07:06, GET, /py2manager/index, HTTP/1.1, 404, 0.032012
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/default/index, HTTP/1.1, 200, 0.292351
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000961
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 304, 0.000222
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002021
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 304, 0.000236
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002133
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 304, 0.000811
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 304, 0.001310
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 304, 0.002126
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001091
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000183
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000307
127.0.0.1, 2014-01-12 18:07:36, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000966
127.0.0.1, 2014-01-12 18:07:37, GET, /py2manager/static/images/gplus-32.png, HTTP/1.1, 304, 0.000373
127.0.0.1, 2014-01-12 18:07:37, GET, /py2manager/static/images/facebook.png, HTTP/1.1, 304, 0.000687
127.0.0.1, 2014-01-12 18:07:37, GET, /py2manager/static/images/twitter.png, HTTP/1.1, 304, 0.001454
127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/default/index, HTTP/1.1, 200, 0.070989
127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 304, 0.000834
127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 304, 0.002189
127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 304, 0.003741
127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.009929
127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 304, 0.003676
127.0.0.1, 2014-01-12 18:07:45, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 304, 0.002281
